Número Licitação;Código UG;Valor Licitação
12013;152139;63552.85
12013;152140;92893.13
12013;152141;3437.8
12013;152142;22872.0
12013;152143;660.0
12013;158143;386064.55000000005
12013;158501;484.67
12014;152139;188278.88
12014;152140;181097.03999999998
12014;152141;59353.0
12014;152142;39810.0
12014;152143;3648.3500000000004
12014;152147;1400.0
12014;158143;14532.81
12014;158501;10822.0
12015;152139;3700.06
12015;152140;15575.0
12015;152141;3418.98
12015;152142;3305.49
12015;152143;12665.39
12015;152147;148590.06
12015;158143;2105629.48
12015;158501;25895.0
12016;152139;724040.3899999999
12016;152140;10403.81
12016;152141;795590.86
12016;152142;2640157.1500000004
12016;152143;77575.24
12016;152144;657228.1
12016;152145;6703.8
12016;152146;2753.0
12016;152147;513504.25999999995
12016;158143;142973.94
12016;158501;9640.91
12017;152139;188770.57
12017;152140;298622.25
12017;152141;302703.42
12017;152142;944069.4
12017;152143;450540.64999999997
12017;152144;412135.06
12017;152145;122280.79
12017;152146;93303.90999999999
12017;152147;120863.87
12017;158143;65534.100000000006
12017;158501;592952.88
12018;152139;79009.6
12018;152140;5068.0
12018;152141;18605.64
12018;152142;126500.71
12018;152143;116389.15
12018;152144;2659.8
12018;152145;15232.0
12018;152146;17777.5
12018;152147;8972.83
12018;158143;275217.8
12018;158501;29429.66
12019;152139;77432.02
12019;152140;21457.3
12019;152141;18212.8
12019;152142;4230.0
12019;152143;3448.75
12019;152144;2219.6
12019;152145;22680.45
12019;152146;8000.0
12019;158143;339647.74
12019;158501;45319.5
12020;152139;4800.0
12020;152140;68900.4
12020;152141;20151.0
12020;152142;21000.0
12020;152143;161930.7
12020;152144;4574.0
12020;152145;36090.0
12020;152146;17640.0
12020;152147;810.55
12020;158143;6942130.48
12020;158501;24838.91
12021;158143;17064.0
12022;158143;19200.0
22013;152139;17135.83
22013;152140;8241.1
22013;152141;45780.0
22013;152142;2100.0
22013;152143;8370.0
22013;158143;105650.92
22013;158501;2370.0
22014;152139;9593.83
22014;152140;12193.769999999999
22014;152141;100000.0
22014;152142;12723.96
22014;152143;6790.0
22014;152147;37679.37
22014;158143;8901.189999999999
22014;158501;630.99
22015;152139;528.0
22015;152140;0.0
22015;152141;7120.0
22015;152142;1645.0
22015;152143;9075.0
22015;152147;124619.34999999999
22015;158143;86578.7
22015;158501;117518.5
22016;152139;5484.4
22016;152140;602221.86
22016;152141;759003.36
22016;152142;8179.38
22016;152143;1100.0
22016;152144;638981.12
22016;152145;7906.39
22016;152146;2979.8
22016;152147;870993.63
22016;158143;3003688.7199999997
22016;158501;1.0
22017;152139;5727.6
22017;152140;14705.24
22017;152142;221305.77
22017;152143;2000.0
22017;152144;2984.74
22017;152145;8000.0
22017;152146;13501.18
22017;152147;7550.36
22017;158143;78494.15
22017;158501;47584.4
22018;152139;311210.21
22018;152140;2270.14
22018;152141;5265.0
22018;152142;6000.0
22018;152143;2477.94
22018;152144;20038.74
22018;152145;39283.8
22018;152146;7226.34
22018;152147;34825.5
22018;158143;110291.84
22018;158501;21750.0
22019;152140;7935.6
22019;152141;8500.0
22019;152142;13328.0
22019;152143;26080.98
22019;152144;3240.0
22019;152145;1000.0
22019;152146;16689.99
22019;158143;547510.8
22019;158501;42384.5
22020;152139;51217.36
22020;152140;15076.11
22020;152141;280.6
22020;152142;22380.0
22020;152143;28848.0
22020;152144;355245.84
22020;152147;1563.78
22020;158143;50236.7
22020;158501;530625.44
22021;158143;93280.0
22021;158501;20000.0
22022;158143;0.0
32013;152139;1779.0
32013;152140;1744.11
32013;152141;4730.0
32013;152142;339.3
32013;152143;5530.0
32013;158143;72388.0
32014;152139;50198.0
32014;152140;7787.5
32014;152141;225700.0
32014;152142;20000.0
32014;152143;4850.0
32014;158143;11077.5
32014;158501;62592.05
32015;152139;285323.18
32015;152141;3500.0
32015;152142;3510.0
32015;152143;84617.84
32015;152147;785.5
32015;158143;12718.23
32015;158501;12608.0
32016;152139;5084.0
32016;152140;16590.0
32016;152141;59.4
32016;152142;2590.0
32016;152143;9321.9
32016;152144;619.2
32016;152145;6100.0
32016;152146;485387.76
32016;152147;22440.59
32016;158143;54019.6
32016;158501;903.6
32017;152139;52932.16
32017;152140;4575.8
32017;152142;530.0
32017;152143;6318.26
32017;152145;0.0
32017;152146;350.0
32017;152147;15463.0
32017;158143;741402.81
32017;158501;10680.6
32018;152139;23717.87
32018;152140;47236.04
32018;152141;4000.0
32018;152142;36000.0
32018;152143;26422.73
32018;152144;554351.1
32018;152145;11100.0
32018;152146;327201.38
32018;152147;2720.25
32018;158143;1407359.83
32018;158501;11965.5
32019;152139;101.9
32019;152140;10500.0
32019;152141;11269.0
32019;152142;840.0
32019;152143;6738.0
32019;152146;1898.38
32019;158143;14000.640000000001
32019;158501;26334.559999999998
32020;152139;553.0
32020;152140;0.0
32020;152141;285.0
32020;152142;24481.28
32020;152143;332199.6
32020;152144;183.0
32020;158143;160644.73
32020;158501;18352.5
32021;158143;98894.95
32022;158143;3990.0
42013;152139;86.4
42013;152140;6176.0
42013;152142;2160.0
42013;152143;483.0
42013;158143;47406.43
42013;158501;290921.4
42014;152139;109677.7
42014;152140;9706.5
42014;152141;18000.0
42014;152142;18000.0
42014;152143;1745.0
42014;158143;11871.0
42014;158501;59204.2
42015;152139;1623.67
42015;152141;3200.0
42015;152143;1600.0
42015;158143;46460.89
42015;158501;17614.52
42016;152139;0.0
42016;152140;31758.559999999998
42016;152142;6600.0
42016;152143;9186.0
42016;152144;7990.0
42016;152145;978.6
42016;152146;1113948.96
42016;152147;64573.08
42016;158143;14961.55
42016;158501;79340.0
42017;152139;74469.89
42017;152142;700.0
42017;152143;6350.0
42017;152145;10000.0
42017;152146;33969.0
42017;158143;258814.62
42017;158501;32259.6
42018;152139;99.0
42018;152140;57032.82
42018;152141;5700.0
42018;152142;15355.24
42018;152143;4880.0
42018;152146;398.16
42018;152147;858.2
42018;158143;581641.61
42018;158501;7638.95
42019;152139;1089.45
42019;152140;370000.0
42019;152141;2400.0
42019;152142;2928.0
42019;152143;700.0
42019;152144;122640.09
42019;152146;1330.31
42019;158143;225767.2
42019;158501;16751.88
42020;152139;239.04
42020;152140;72705.6
42020;152142;2015.0
42020;152143;18685.0
42020;158143;17809.2
42020;158501;5538.0
42021;158143;102170.0
52013;152139;1190.0
52013;152140;4909.31
52013;152142;892.5
52013;152143;1434.88
52013;158143;1331336.8
52013;158501;13748.28
52014;152139;2150.0
52014;152140;20000.0
52014;152142;770.0
52014;152143;56466.58
52014;158143;50933.130000000005
52014;158501;1950.0
52015;152142;1788.0
52015;152143;1881.0
52015;158143;13851.34
52015;158501;149977.82
52016;152139;4940.0
52016;152140;375524.14
52016;152142;6600.0
52016;152143;6220.0
52016;152146;5699.0
52016;152147;0.0
52016;158143;525494.36
52016;158501;6475.0
52017;152142;3000.0
52017;152143;1800.0
52017;152145;10000.0
52017;152147;0.0
52017;158143;14968.44
52017;158501;13197.5
52018;152139;10499.48
52018;152141;2090.0
52018;152146;799.0
52018;152147;795.0
52018;158143;267501.72
52018;158501;368757.48
52019;152139;1232.77
52019;152140;521.5
52019;152143;8486.0
52019;152144;1946.03
52019;152146;940.0
52019;158143;17600.0
52019;158501;11891.89
52020;152139;0.0
52020;152140;41757.78
52020;152142;23000.0
52020;152143;5590.0
52020;158143;8102282.01
52020;158501;3800.0
52021;158143;563000.0
52022;158143;1651.08
62013;152139;995.99
62013;152140;1127.9299999999998
62013;152142;40.0
62013;158143;87494.2
62013;158501;1392.0
62014;152139;1169.01
62014;152140;1120.0
62014;152142;6820.0
62014;152143;16808.4
62014;158143;184630.99
62014;158501;22402.760000000002
62015;152143;1514.31
62015;158143;21076.4
62015;158501;19782.86
62016;152139;24305.41
62016;152140;0.0
62016;152143;7788.0
62016;152147;127923.95
62016;158143;29848.8
62016;158501;8270.8
62017;152143;4988.77
62017;152147;129.75
62017;158143;1050.0
62017;158501;5987.92
62018;152140;0.0
62018;152141;3420.0
62018;152146;4114.44
62018;152147;124.39
62018;158143;2762013.75
62018;158501;3893.8
62019;152143;1519.46
62019;152146;2579.95
62019;158143;17600.0
62019;158501;125690.4
62020;152142;33000.0
62020;152143;15093.6
62020;158143;890980.36
62020;158501;48200.0
62021;158143;87698.6
62022;158143;2000.0
72013;152140;795.0
72013;152142;2523.96
72013;158143;44286.36
72013;158501;3280.0
72014;152139;219.96
72014;152140;1595.0
72014;152141;5853.0
72014;152143;8091.5
72014;158143;675327.0
72015;158143;3255.0
72015;158501;7000.0
72016;152139;22596.17
72016;152140;6450.0
72016;152143;1970.0
72016;152147;27400.0
72016;158143;1760.0
72016;158501;36236.75
72017;152147;151.68
72017;158501;287.4
72018;152139;44416.19
72018;152140;0.0
72018;152141;4666.5
72018;152143;17376.42
72018;152146;0.0
